Generation,Pheno,Optim
1,98.259868,142.693479
2,98.214387,142.693479
3,98.535986,142.693479
4,98.971850,142.693479
5,99.558679,142.693479
6,99.845476,142.693479
7,100.364850,142.693479
8,100.576673,142.693479
9,100.982918,142.693479
10,101.374518,142.693479
11,101.744854,142.693479
12,101.982464,142.693479
13,102.397944,142.693479
14,102.519982,142.693479
15,102.854231,142.693479
16,103.419923,142.693479
17,103.681180,142.693479
18,104.232694,142.693479
19,104.501088,142.693479
20,104.964416,142.693479
21,105.484103,142.693479
22,105.870566,142.693479
23,106.173764,142.693479
24,106.756623,142.693479
25,107.162809,142.693479
26,107.500697,142.693479
27,107.807498,142.693479
28,108.121626,142.693479
29,108.678400,142.693479
30,108.966388,142.693479
31,109.196546,142.693479
32,109.440935,142.693479
33,110.023877,142.693479
34,110.479526,142.693479
35,110.636504,142.693479
36,111.313402,142.693479
37,111.615688,142.693479
38,112.077852,142.693479
39,112.449090,142.693479
40,112.834737,142.693479
41,112.968977,142.693479
42,113.264560,142.693479
43,113.832169,142.693479
44,114.312602,142.693479
45,114.505877,142.693479
46,114.854680,142.693479
47,115.101225,142.693479
48,115.616787,142.693479
49,115.711152,142.693479
50,116.051668,142.693479
51,116.488575,142.693479
52,117.117156,142.693479
53,117.266876,142.693479
54,117.567727,142.693479
55,117.907395,142.693479
56,118.073879,142.693479
57,118.364663,142.693479
58,118.463549,142.693479
59,119.058584,142.693479
60,119.245362,142.693479
61,119.380076,142.693479
62,119.680663,142.693479
63,120.360493,142.693479
64,120.560484,142.693479
65,120.707454,142.693479
66,121.039261,142.693479
67,121.286303,142.693479
68,121.317434,142.693479
69,121.537481,142.693479
70,121.848058,142.693479
71,122.071473,142.693479
72,122.295205,142.693479
73,122.600522,142.693479
74,122.933161,142.693479
75,123.326183,142.693479
76,123.392268,142.693479
77,123.515187,142.693479
78,123.758778,142.693479
79,123.816238,142.693479
80,124.328038,142.693479
81,124.488110,142.693479
82,124.755300,142.693479
83,124.839194,142.693479
84,125.076534,142.693479
85,125.276301,142.693479
86,125.348623,142.693479
87,125.423454,142.693479
88,125.487354,142.693479
89,125.781844,142.693479
90,125.896024,142.693479
91,125.952773,142.693479
92,126.145479,142.693479
93,126.369432,142.693479
94,126.444838,142.693479
95,126.593755,142.693479
96,126.762960,142.693479
97,126.850625,142.693479
98,127.414764,142.693479
99,127.271670,142.693479
100,127.279090,142.693479
101,127.472930,142.693479
102,127.665457,142.693479
103,127.904417,142.693479
104,127.892598,142.693479
105,127.934875,142.693479
106,127.992262,142.693479
107,128.109866,142.693479
108,128.228763,142.693479
109,128.274004,142.693479
110,128.478864,142.693479
111,128.660649,142.693479
112,128.689526,142.693479
113,128.718626,142.693479
114,128.755840,142.693479
115,128.858783,142.693479
116,128.907808,142.693479
117,128.887897,142.693479
118,129.141284,142.693479
119,129.142270,142.693479
120,129.178886,142.693479
121,129.327546,142.693479
122,129.571176,142.693479
123,129.579963,142.693479
124,129.504010,142.693479
125,129.532072,142.693479
126,129.614930,142.693479
127,129.588294,142.693479
128,129.620349,142.693479
129,129.855760,142.693479
130,129.912572,142.693479
131,129.814628,142.693479
132,129.760004,142.693479
133,129.902720,142.693479
134,129.955022,142.693479
135,129.862348,142.693479
136,129.957261,142.693479
137,129.917124,142.693479
138,130.001458,142.693479
139,130.220266,142.693479
140,130.244815,142.693479
141,130.402781,142.693479
142,130.443455,142.693479
143,130.247271,142.693479
144,130.414864,142.693479
145,130.633401,142.693479
146,130.390928,142.693479
147,130.648499,142.693479
148,130.736281,142.693479
149,130.615426,142.693479
150,130.599430,142.693479
151,130.808541,142.693479
152,130.892487,142.693479
153,130.953534,142.693479
154,130.783200,142.693479
155,130.781967,142.693479
156,131.055176,142.693479
157,130.992600,142.693479
158,130.916633,142.693479
159,131.058933,142.693479
160,130.901839,142.693479
161,131.009132,142.693479
162,130.991705,142.693479
163,131.143606,142.693479
164,131.080482,142.693479
165,131.272468,142.693479
166,131.397312,142.693479
167,131.409003,142.693479
168,131.520074,142.693479
169,131.366713,142.693479
170,131.426038,142.693479
171,131.424138,142.693479
172,131.561176,142.693479
173,131.649461,142.693479
174,131.630340,142.693479
175,131.618007,142.693479
176,131.739069,142.693479
177,131.832470,142.693479
178,131.775670,142.693479
179,131.958943,142.693479
180,131.902073,142.693479
181,132.026105,142.693479
182,132.059167,142.693479
183,132.029755,142.693479
184,132.068120,142.693479
185,132.041720,142.693479
186,132.049127,142.693479
187,132.029966,142.693479
188,132.111634,142.693479
189,132.362149,142.693479
190,132.218410,142.693479
191,132.447667,142.693479
192,132.382554,142.693479
193,132.403109,142.693479
194,132.413500,142.693479
195,132.315181,142.693479
196,132.307701,142.693479
197,132.414750,142.693479
198,132.396662,142.693479
199,132.502552,142.693479
200,132.687318,142.693479
201,132.666171,142.693479
202,132.780931,142.693479
203,132.717502,142.693479
204,132.708702,142.693479
205,132.778745,142.693479
206,132.933552,142.693479
207,132.836008,142.693479
208,132.616754,142.693479
209,132.746767,142.693479
210,132.793303,142.693479
211,132.884793,142.693479
212,132.870010,142.693479
213,132.894346,142.693479
214,132.972414,142.693479
215,132.902327,142.693479
216,133.050075,142.693479
217,132.977397,142.693479
218,132.895245,142.693479
219,132.982262,142.693479
220,132.968328,142.693479
221,133.058164,142.693479
222,132.933683,142.693479
223,133.101916,142.693479
224,132.999992,142.693479
225,133.108010,142.693479
226,133.047447,142.693479
227,133.083743,142.693479
228,133.097584,142.693479
229,133.124495,142.693479
230,133.066030,142.693479
231,133.278969,142.693479
232,133.139063,142.693479
233,133.187425,142.693479
234,133.238428,142.693479
235,133.312501,142.693479
236,133.334563,142.693479
237,133.301688,142.693479
238,133.365723,142.693479
239,133.342190,142.693479
240,133.382638,142.693479
241,133.294456,142.693479
242,133.491322,142.693479
243,133.442334,142.693479
244,133.528688,142.693479
245,133.409415,142.693479
246,133.375344,142.693479
247,133.570168,142.693479
248,133.634577,142.693479
249,133.681427,142.693479
250,133.513887,142.693479
251,133.523637,142.693479
252,133.714900,142.693479
253,133.653131,142.693479
254,133.715317,142.693479
255,133.866150,142.693479
256,133.870035,142.693479
257,134.078221,142.693479
258,134.138887,142.693479
259,134.112763,142.693479
260,134.171723,142.693479
261,134.116218,142.693479
262,134.217006,142.693479
263,134.214827,142.693479
264,134.239878,142.693479
265,134.267598,142.693479
266,134.334106,142.693479
267,134.398964,142.693479
268,134.549282,142.693479
269,134.408708,142.693479
270,134.436785,142.693479
271,134.534317,142.693479
272,134.482011,142.693479
273,134.493093,142.693479
274,134.571145,142.693479
275,134.589765,142.693479
276,134.551508,142.693479
277,134.557170,142.693479
278,134.548242,142.693479
279,134.792951,142.693479
280,134.697135,142.693479
281,134.812139,142.693479
282,134.771604,142.693479
283,134.571282,142.693479
284,134.797337,142.693479
285,134.845228,142.693479
286,134.851279,142.693479
287,134.896218,142.693479
288,134.886361,142.693479
289,134.865608,142.693479
290,135.092799,142.693479
291,135.016805,142.693479
292,135.160959,142.693479
293,135.061249,142.693479
294,135.072782,142.693479
295,135.065857,142.693479
296,135.194114,142.693479
297,135.147890,142.693479
298,135.156462,142.693479
299,135.255986,142.693479
300,135.150540,142.693479
301,135.267821,142.693479
302,135.226053,142.693479
303,135.222898,142.693479
304,135.440080,142.693479
305,135.584877,142.693479
306,135.359188,142.693479
307,135.266620,142.693479
308,135.453127,142.693479
309,135.554503,142.693479
310,135.545124,142.693479
311,135.379822,142.693479
312,135.592079,142.693479
313,135.618505,142.693479
314,135.688038,142.693479
315,135.712604,142.693479
316,135.804610,142.693479
317,135.836651,142.693479
318,135.804755,142.693479
319,136.100559,142.693479
320,135.921267,142.693479
321,135.970675,142.693479
322,135.940427,142.693479
323,135.890924,142.693479
324,136.046812,142.693479
325,136.169768,142.693479
326,136.090948,142.693479
327,136.008895,142.693479
328,136.028174,142.693479
329,136.286872,142.693479
330,136.168712,142.693479
331,136.093525,142.693479
332,136.413570,142.693479
333,136.381757,142.693479
334,136.450546,142.693479
335,136.538518,142.693479
336,136.462653,142.693479
337,136.449995,142.693479
338,136.496928,142.693479
339,136.603288,142.693479
340,136.663240,142.693479
341,136.709198,142.693479
342,136.707106,142.693479
343,136.684544,142.693479
344,136.666030,142.693479
345,136.921462,142.693479
346,136.800563,142.693479
347,136.813593,142.693479
348,136.920470,142.693479
349,136.979665,142.693479
350,137.031314,142.693479
351,136.887399,142.693479
352,136.967577,142.693479
353,136.949925,142.693479
354,137.007853,142.693479
355,137.120578,142.693479
356,136.883811,142.693479
357,137.132257,142.693479
358,137.053294,142.693479
359,137.026280,142.693479
360,137.132969,142.693479
361,137.336189,142.693479
362,137.349530,142.693479
363,137.279613,142.693479
364,137.416665,142.693479
365,137.689858,142.693479
366,137.533557,142.693479
367,137.763748,142.693479
368,137.811340,142.693479
369,137.719415,142.693479
370,137.618696,142.693479
371,137.698954,142.693479
372,138.024487,142.693479
373,137.837445,142.693479
374,138.026928,142.693479
375,137.936017,142.693479
376,138.222129,142.693479
377,137.914224,142.693479
378,138.025397,142.693479
379,138.087094,142.693479
380,137.980380,142.693479
381,138.030367,142.693479
382,138.176489,142.693479
383,138.033625,142.693479
384,138.136489,142.693479
385,138.189953,142.693479
386,138.139995,142.693479
387,138.388964,142.693479
388,138.266592,142.693479
389,138.202852,142.693479
390,138.352201,142.693479
391,138.250146,142.693479
392,138.351959,142.693479
393,138.500788,142.693479
394,138.432196,142.693479
395,138.285672,142.693479
396,138.442524,142.693479
397,138.434771,142.693479
398,138.473267,142.693479
399,138.498860,142.693479
400,138.397307,142.693479
401,138.471098,142.693479
402,138.383060,142.693479
403,138.496751,142.693479
404,138.414899,142.693479
405,138.486149,142.693479
406,138.646230,142.693479
407,138.629953,142.693479
408,138.662649,142.693479
409,138.609884,142.693479
410,138.670155,142.693479
411,138.644387,142.693479
412,138.752236,142.693479
413,138.681739,142.693479
414,138.784738,142.693479
415,138.772411,142.693479
416,138.766701,142.693479
417,139.032854,142.693479
418,138.919363,142.693479
419,138.933991,142.693479
420,138.970211,142.693479
421,138.837756,142.693479
422,138.926290,142.693479
423,138.849891,142.693479
424,138.944933,142.693479
425,138.876945,142.693479
426,139.005867,142.693479
427,139.078393,142.693479
428,139.105938,142.693479
429,139.172136,142.693479
430,138.992953,142.693479
431,139.137109,142.693479
432,139.201983,142.693479
433,139.285200,142.693479
434,139.155988,142.693479
435,139.328368,142.693479
436,139.315176,142.693479
437,139.202016,142.693479
438,139.329827,142.693479
439,139.410791,142.693479
440,139.285791,142.693479
441,139.375157,142.693479
442,139.448560,142.693479
443,139.308861,142.693479
444,139.484221,142.693479
445,139.423613,142.693479
446,139.541942,142.693479
447,139.321752,142.693479
448,139.575927,142.693479
449,139.594958,142.693479
450,139.435490,142.693479
451,139.630822,142.693479
452,139.643377,142.693479
453,139.689692,142.693479
454,139.611492,142.693479
455,139.524522,142.693479
456,139.633726,142.693479
457,139.623190,142.693479
458,139.631377,142.693479
459,139.510183,142.693479
460,139.654787,142.693479
461,139.837319,142.693479
462,139.714406,142.693479
463,139.530115,142.693479
464,139.726259,142.693479
465,139.574820,142.693479
466,139.614544,142.693479
467,139.717144,142.693479
468,139.968766,142.693479
469,139.724908,142.693479
470,139.676741,142.693479
471,139.583452,142.693479
472,139.654484,142.693479
473,139.679423,142.693479
474,139.510150,142.693479
475,139.819164,142.693479
476,139.690878,142.693479
477,139.754903,142.693479
478,139.839152,142.693479
479,139.701307,142.693479
480,139.789504,142.693479
481,139.753523,142.693479
482,139.590497,142.693479
483,139.825987,142.693479
484,139.824729,142.693479
485,139.683532,142.693479
486,139.800154,142.693479
487,139.790545,142.693479
488,139.837672,142.693479
489,139.984110,142.693479
490,139.888791,142.693479
491,139.839006,142.693479
492,139.982068,142.693479
493,139.827825,142.693479
494,139.981981,142.693479
495,139.968869,142.693479
496,140.088338,142.693479
497,139.946908,142.693479
498,139.989976,142.693479
499,140.016812,142.693479
500,140.089139,142.693479
